ISBN,Title,Publish_year,Price,Copies_number,Threshold,Category
123,Fundamentals of Wavelets,2009-05-09,500,5,1,Geography
124,Data Smart,2009-05-10,501,6,2,Science
125,God Created the Integers,2009-05-11,502,7,3,Religion
126,Superfreakonomics,2009-05-12,503,8,4,Art
127,Orientalism,2009-05-13,504,9,5,history
128,"Nature of Statistical Learning Theory, The",2009-05-14,505,10,6,Science
129,Integration of the Indian States,2009-05-15,506,11,7,history
130,"Drunkard's Walk, The",2009-05-16,507,12,8,science
131,Image Processing & Geographyematical Morphology,2009-05-17,508,13,9,Geography
132,How to Think Like Sherlock Holmes,2009-05-18,509,14,10,Art
133,Data Scientists at Work,2009-05-19,510,15,11,Science
134,Slaughterhouse Five,2009-05-20,511,16,12,Art
135,Birth of a Theorem,2009-05-21,512,17,13,Religion
136,Structure & Interpretation of Computer Programs,2009-05-22,513,18,14,History
137,"Age of Wrath, The",2009-05-23,514,19,15,history
138,"Trial, The",2009-05-24,515,20,16,Art
139,Statistical Decision Theory',2009-05-25,516,21,17,Science
140,Data Mining Handbook,2009-05-26,517,22,18,Science
141,"New Machiavelli, The",2009-05-27,518,23,19,Art
142,Physics & Religion,2009-05-28,519,24,20,science
143,Making Software,2009-05-29,520,25,21,History
144,"Analysis, Vol I",2009-05-30,521,26,22,Religion
145,Machine Learning for Hackers,2009-05-31,522,27,23,Science
146,"Signal and the Noise, The",2009-06-01,523,28,24,Science
147,Python for Data Analysis,2009-06-02,524,29,25,Science
148,Introduction to Algorithms,2009-06-03,525,30,26,History
149,"Beautiful and the Damned, The",2009-06-04,526,31,27,Art
150,"Outsider, The",2009-06-05,527,32,28,Art
151,"Complete Sherlock Holmes, The - Vol I",2009-06-06,528,33,29,Art
152,"Complete Sherlock Holmes, The - Vol II",2009-06-07,529,34,30,Art
153,"Wealth of Nations, The",2009-06-08,530,35,31,Art
154,"Pillars of the Earth, The",2009-06-09,531,36,32,Art
155,Mein Kampf,2009-06-10,532,37,33,Art
156,"Tao of Physics, The",2009-06-11,533,38,34,science
157,Surely You're Joking Mr Feynman,2009-06-12,534,39,35,science
158,"Farewell to Arms, A",2009-06-13,535,40,36,Art
159,"Veteran, The",2009-06-14,536,41,37,Art
160,False Impressions,2009-06-15,537,42,38,Art
161,"Last Lecture, The",2009-06-16,538,43,39,Art
162,Return of the Primitive,2009-06-17,539,44,40,Religion
163,Jurassic Park,2009-06-18,540,45,41,Art
164,"Russian Journal, A",2009-06-19,541,46,42,Art
165,Tales of Mystery and Imagination,2009-06-20,542,47,43,Art
166,Freakonomics,2009-06-21,543,48,44,Art
167,"Hidden Connections, The",2009-06-22,544,49,45,science
168,"Story of Religion, The",2009-06-23,545,50,46,Religion
169,Asami Asami,2009-06-24,546,51,47,Art
170,Journal of a Novel,2009-06-25,547,52,48,Art
171,Once There Was a War,2009-06-26,548,53,49,Art
172,"Moon is Down, The",2009-06-27,549,54,50,Art
173,"Brethren, The",2009-06-28,550,55,51,Art
174,In a Free State,2009-06-29,551,56,52,Art
175,Catch 22,2009-06-30,552,57,53,Art
176,"Complete Mastermind, The",2009-07-01,553,58,54,Art
177,Dylan on Dylan,2009-07-02,554,59,55,Art
178,Soft Computing & Intelligent Systems,2009-07-03,555,60,56,Science
179,Textbook of Economic Theory,2009-07-04,556,61,57,Art
180,Econometric Analysis,2009-07-05,557,62,58,Art
181,Learning OpenCV,2009-07-06,558,63,59,Science
182,Data Structures Using C & C++,2009-07-07,559,64,60,History
183,"Computer Vision, A Modern Approach",2009-07-08,560,65,61,Science
184,Principles of Communication Systems,2009-07-09,561,66,62,History
185,Let Us C,2009-07-10,562,67,63,History
186,"Amulet of Samarkand, The",2009-07-11,563,68,64,Art
187,Crime and Punishment,2009-07-12,564,69,65,Art
188,Angels & Demons,2009-07-13,565,70,66,Art
189,"Argumentative Indian, The",2009-07-14,566,71,67,Art
190,Sea of Poppies,2009-07-15,567,72,68,Art
191,"Idea of Justice, The",2009-07-16,568,73,69,Art
192,"Raisin in the Sun, A",2009-07-17,569,74,70,Art
193,All the President's Men,2009-07-18,570,75,71,history
194,"Prisoner of Birth, A",2009-07-19,571,76,72,Art
195,Scoop!,2009-07-20,572,77,73,history
196,Ahe Manohar Tari,2009-07-21,573,78,74,Art
197,"Last Mughal, The",2009-07-22,574,79,75,history
198,"Social Choice & Welfare, Vol 39 No. 1",2009-07-23,575,80,76,Art
199,Radiowaril Bhashane & Shrutika,2009-07-24,576,81,77,Art
200,Gun Gayin Awadi,2009-07-25,577,82,78,Art
201,Aghal Paghal,2009-07-26,578,83,79,Art
202,Maqta-e-Ghalib,2009-07-27,579,84,80,Art
203,Beyond Degrees,2009-07-28,580,85,81,Art
